university,age,is_commuter,commute_time,attendance,gpa,did_move,means_of_transport,think_commuting_negative_on_studies,no_study_time,higher_gpa_if_closer,no_hobbies,stress,no_sleep,no_friends,no_family,loneliness
piemonte orientale,19,0,0.0,1.0,-1,1,,-1.0,0.78,0.89,0.89,0.56,0.67,0.78,0.89,0.89
upo,20,0,0.0,1.0,-1,1,,-1.0,0.22,1.0,0.22,0.22,0.44,0.78,0.78,0.0
piemonte orientale,19,0,0.0,1.0,-1,1,,-1.0,0.78,0.44,0.89,0.67,0.44,0.56,0.89,0.33
upo,20,1,0.5,0.33,23.0,0,Auto,0.67,0.56,0.22,0.22,0.56,0.44,0.56,0.67,0.67
unimi,20,1,0.75,1.0,28.0,0,"A piedi,Pullman,Metro",0.44,0.67,0.33,0.78,0.56,0.22,0.44,0.22,0.33
upo,20,1,0.25,0.67,24.0,0,Treno,0.67,0.67,0.33,0.78,0.67,0.78,0.0,0.0,0.0
unimi,22,1,0.75,0.67,21.0,0,"A piedi,Pullman,Metro,Treno",0.78,0.89,0.56,0.78,0.78,1.0,1.0,0.56,0.22
bocconi,20,1,0.25,0.67,27.0,0,"Bici,Metro,Tram",0.56,0.67,0.56,0.89,0.78,0.67,0.78,0.44,0.67
bocconi,20,0,0.0,0.33,26.0,1,,-1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67,0.56
cattolica,21,1,0.75,0.33,26.0,0,"Pullman,Metro,Treno",0.78,0.44,0.44,1.0,0.78,0.67,0.67,0.67,0.22
cattolica,21,1,0.75,1.0,29.0,0,"Metro,Treno",0.44,0.56,0.0,0.0,0.78,0.89,0.67,0.56,0.56
cattolica,21,0,0.25,1.0,24.0,0,,-1.0,0.44,0.33,0.67,0.22,0.67,0.33,0.33,0.67
cattolica,21,1,0.75,1.0,28.5,0,Treno,0.33,0.78,0.67,0.33,0.78,0.67,0.44,0.44,0.67
cattolica,20,1,0.5,1.0,28.5,0,"Treno,Auto",0.22,0.22,0.11,0.67,0.11,0.22,0.11,0.11,0.0
cattolica,22,1,0.5,0.67,25.0,0,Treno,1.0,0.56,0.33,0.78,0.89,1.0,0.56,0.44,0.11
cattolica,22,1,0.75,0.33,26.0,0,Treno,0.22,0.22,0.22,0.78,1.0,0.78,0.33,0.33,0.33
unimi,21,1,0.5,0.67,25.0,0,"Bici,Metro,Treno",0.33,0.44,0.78,0.33,0.22,1.0,0.22,0.33,0.11
unimi,20,1,0.75,1.0,-1,0,"Pullman,Metro,Treno",0.44,0.78,0.33,0.22,0.56,0.11,0.11,0.33,0.44
