Informazioni cronologiche,Università frequentata,Età,Ti consideri un pendolare,Quanto tempo impieghi per raggiungere la tua università?,Che percentuale di lezione frequenti?,Qual è la tua media? (su 30),Sei fuori sede?,Che mezzo usi per raggiungere l'università,Penso che essere pendolare influisca negativamente sul mio studio,Ho poco tempo per studiare,Penso potrei avere una media più alta se abitassi più vicino all'università,Non ho abbastanza tempo da dedicare ai miei hobby/sport,Andare in università è stressante,Non dormo abbastanza ore,Faccio fatica a trovare il tempo per vedere i miei amici,Faccio fatica a passare del tempo con la mia famiglia,A volte soffro di solitudine
18/11/2024 15.30.23,Università del Piemonte orientale,20,Si,Da 1 ora a 1 ora e mezza,Più del 75%,Non ho ancora fatto esami,,"Pullman, Treno",10,8,7,10,10,6,5,7,3
18/11/2024 15.33.02,Università Cattolica ,21,Si,Dai 10 ai 30 minuti,Più del 75%,27.5,,"A piedi, Treno",6,4,3,4,7,6,3,3,2
18/11/2024 15.34.15,IULM,20,Si,Da 30 minuti a 1 ora,Più del 75%,25.80,,"Metro, Treno",4,3,1,3,5,8,4,4,1
18/11/2024 15.36.39,ESCP Business School,24,No,Da 30 minuti a 1 ora,Più del 75%,28,Si,,,3,1,1,6,10,1,6,5
18/11/2024 15.59.28,UNIVPM,19,No,Meno di 10 minuti,Più del 75%,"23,75",Si,,,9,10,10,10,9,5,10,10
18/11/2024 15.59.54,Economia alla Cattolica,20,Si,Da 1 ora a 1 ora e mezza,Meno del 25%,27,,"Metro, Auto",9,7,10,9,10,1,6,1,6
18/11/2024 16.03.26,Dams Torino ,20,Si,2 ore o di più,Dal 50% al 75%,24,,"A piedi, Treno, Auto",7,6,8,7,8,4,1,1,5
18/11/2024 16.10.19,Iulm,18,No,Meno di 10 minuti,Più del 75%,"26,5",Si,,,5,1,3,3,3,3,7,9
18/11/2024 16.29.56,Iulm,20,Si,Da 30 minuti a 1 ora,Più del 75%,28,,"A piedi, Metro, Treno, Auto",2,8,3,10,9,9,7,7,10
18/11/2024 17.36.21,Politecnico di Milano ,20,No,Dai 10 ai 30 minuti,Più del 75%,28.2,No,,,7,9,1,5,9,3,8,2
18/11/2024 17.42.11,Politecnico di milano,20 anni,Si,Da 1 ora a 1 ora e mezza,Più del 75%,20,,"Pullman, Metro, Treno",7,7,8,8,4,7,5,3,8
19/11/2024 7.10.02,Polimi,19,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,18,,"Pullman, Metro, Tram, Treno",7,6,8,3,8,1,5,1,6
19/11/2024 10.37.22,Bocconi ,20,Si,Da 1 ora a 1 ora e mezza,Dal 25% al 50%,28/30,,"Pullman, Metro, Tram",6,6,9,8,10,6,6,4,7
19/11/2024 11.44.28,UNIUPO,20,Si,Da 30 minuti a 1 ora,Dal 50% al 75%,24,,"Pullman, Auto",3,7,3,1,3,7,3,8,1
19/11/2024 15.38.46,Università Cattolica ,19,No,Da 30 minuti a 1 ora,Più del 75%,?,No,,,2,2,8,5,2,3,2,5
19/11/2024 15.44.30,Unimi ,18,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,-,,"Pullman, Metro, Treno",6,8,7,8,6,6,7,6,4
19/11/2024 16.41.17,Università degli studi di Milano-Bicocca,20,Si,Da 30 minuti a 1 ora,Meno del 25%,26,,"Treno, Auto",4,4,3,3,4,6,4,4,5
19/11/2024 16.58.00,unimi,18,Si,Da 1 ora a 1 ora e mezza,Più del 75%,non ho ancora fatto nessun esame ,,"A piedi, Pullman, Metro",6,7,8,7,4,7,4,4,1
19/11/2024 17.33.08,Statale di Milano,21,Si,Da 1 ora a 1 ora e mezza,Più del 75%,21,,"A piedi, Pullman, Metro, Treno",5,5,7,6,3,3,3,2,1
20/11/2024 0.35.32,università cattolica del sacro cuore ,23,Si,Da 1 ora a 1 ora e mezza,Più del 75%,25,,"Metro, Treno, Auto",6,9,8,8,5,10,2,10,1
20/11/2024 11.08.11,Polimi,19,Si,Da 1 ora a 1 ora e mezza,Dal 25% al 50%,Non ho ancora dato esami :),,Auto,5,8,6,6,3,6,6,6,6
26/11/2024 18.10.21,Bocconi,20,No,Dai 10 ai 30 minuti,Più del 75%,27,Si,,,6,1,5,4,5,7,8,4
05/01/2025 17.12.32,Bocconi,20,Si,Da 1 ora a 1 ora e mezza,Dal 50% al 75%,27,,"Pullman, Metro, Tram",8,7,9,6,9,2,2,1,1
